order_id,create_date,decision,is_active,order_type,request_body,client_id,employee_id,ordering_employee_id
53,2022-01-08 16:55:37.821000,accepted,false,Odblokowanie karty kredytowej,"{""cardId"": 4, ""isActive"": false, ""cardImage"": ""https://wallpaperaccess.com/full/6043682.jpg"", ""cvvNumber"": 626, ""pinNumber"": ""8008"", ""cardNumber"": ""36345367452"", ""expireDate"": ""2024-09-01""}",6,1,
76,2022-01-08 21:41:30.975000,accepted,false,Podanie o kredyt,"{""client"": {""city"": ""Małogoszcz"", ""email"": ""dominik.grudzien00+1@gmail.com"", ""balance"": 5487.23, ""secCity"": ""Częstochowa"", ""clientId"": 6, ""fullName"": ""Michał Tester"", ""postalCode"": ""21-292"", ""dateOfBirth"": ""2000-12-02"", ""homeAddress"": ""ul. Czarnowska 6"", ""accountNumber"": ""66666666666666666666666667"", ""secPostalCode"": ""78-092"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202472"", ""secHomeAddress"": ""ul. Ulowa"", ""identificationNumber"": ""328721379"", ""numberOfCreditsCards"": 1}, ""loanId"": null, ""isActive"": true, ""commission"": 2000, ""numOfRates"": 36, ""rateAmount"": 956.7969, ""toRepaidOff"": 34444.688, ""totalPaidOff"": 0, ""concludedDate"": ""2022-01-08"", ""penaltyAmount"": 0, ""interestAmount"": 14444.6875, ""nextRatePayDay"": ""2022-02-08"", ""ratesLeftToPay"": 36, ""basicLoanAmount"": 20000, ""basicRateAmount"": 956.7969, ""estimatedEndDate"": ""2025-01-08"", ""initialRatesNumber"": 36, ""yearlyInterestPercent"": 17.5}",6,5,
78,2022-01-09 10:41:56.120000,inProgress,true,Modyfikacja użytkownika,"{""email"": ""dominik.grudzien00@gmail.com"", ""locked"": false, ""userId"": 10, ""enabled"": true, ""password"": ""$2a$10$nHeoXIrodQ3540pyWQGfd.w1F1IEY5XOzCvwjfMwduNWvGyteFOTy"", ""username"": ""shanodis00878"", ""appUserRole"": ""CLIENT"", ""authorities"": [{""authority"": ""ROLE_CLIENT""}], ""accountNonLocked"": true, ""accountNonExpired"": true, ""credentialsNonExpired"": true}",5,,
79,2022-01-09 10:42:04.343000,inProgress,true,Edycja danych klienta,"{""city"": ""Kielce"", ""email"": ""dominik.grudzien00@gmail.com"", ""balance"": 3555.23, ""secCity"": ""Warszawa"", ""clientId"": 5, ""fullName"": ""Dominik Grud"", ""postalCode"": ""21-292"", ""dateOfBirth"": ""2000-12-01"", ""homeAddress"": ""ul. Malinowa"", ""accountNumber"": ""66666666666666666666666666"", ""secPostalCode"": ""78-090"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202471"", ""secHomeAddress"": ""ul. Miodowa"", ""identificationNumber"": ""328721378"", ""numberOfCreditsCards"": 0}",5,,
83,2022-01-09 13:08:37.302000,inProgress,true,Modyfikacja użytkownika,"{""email"": ""dominik.grudzien00@gmail.com"", ""locked"": false, ""userId"": 10, ""enabled"": true, ""password"": ""$2a$10$nHeoXIrodQ3540pyWQGfd.w1F1IEY5XOzCvwjfMwduNWvGyteFOTy"", ""username"": ""shanodis00zmień"", ""appUserRole"": ""CLIENT"", ""authorities"": [{""authority"": ""ROLE_CLIENT""}], ""accountNonLocked"": true, ""accountNonExpired"": true, ""credentialsNonExpired"": true}",5,,
7,2022-01-04 22:30:21.304000,accepted,false,Edycja danych klienta,"{""city"": ""Małogoszcz"", ""email"": ""dominik.grudzien00+1@gmail.com"", ""balance"": 5794.23, ""secCity"": ""Częstochowa"", ""clientId"": 6, ""fullName"": ""Michał Tester"", ""postalCode"": ""21-292"", ""dateOfBirth"": ""2000-12-02"", ""homeAddress"": ""ul. Czarnowska"", ""accountNumber"": ""66666666666666666666666667"", ""secPostalCode"": ""78-092"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202472"", ""secHomeAddress"": ""ul. Ulowa"", ""identificationNumber"": ""328721379"", ""numberOfCreditsCards"": 1}",6,1,
54,2022-01-08 18:53:49.433000,accepted,false,Zablokowanie karty kredytowej,"{""cardId"": 4, ""isActive"": true, ""cardImage"": ""https://wallpaperaccess.com/full/6043682.jpg"", ""cvvNumber"": 626, ""pinNumber"": ""8008"", ""cardNumber"": ""36345367452"", ""expireDate"": ""2024-09-01""}",6,1,
50,2022-01-08 15:09:02.689000,accepted,false,Zablokowanie karty kredytowej,"{""cardId"": 4, ""isActive"": true, ""cardImage"": ""https://wallpaperaccess.com/full/6043682.jpg"", ""cvvNumber"": 626, ""pinNumber"": ""8008"", ""cardNumber"": ""36345367452"", ""expireDate"": ""2024-09-01""}",6,1,
52,2022-01-08 16:52:30.588000,denied,false,Podanie o kredyt,"{""client"": {""city"": ""Małogoszcz"", ""email"": ""dominik.grudzien00+1@gmail.com"", ""balance"": 5714.23, ""secCity"": ""Częstochowa"", ""clientId"": 6, ""fullName"": ""Michał Tester"", ""postalCode"": ""21-292"", ""dateOfBirth"": [2000, 12, 2], ""homeAddress"": ""ul. Czarnowska"", ""accountNumber"": ""66666666666666666666666667"", ""secPostalCode"": ""78-092"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202472"", ""secHomeAddress"": ""ul. Ulowa"", ""identificationNumber"": ""328721379"", ""numberOfCreditsCards"": 1}, ""loanId"": null, ""isActive"": true, ""commission"": 300, ""numOfRates"": 36, ""rateAmount"": 135.41667, ""toRepaidOff"": 4875, ""totalPaidOff"": 0, ""concludedDate"": ""2022-01-08"", ""penaltyAmount"": 0, ""interestAmount"": 1875, ""nextRatePayDay"": ""2022-02-08"", ""ratesLeftToPay"": 36, ""basicLoanAmount"": 3000, ""basicRateAmount"": 135.41667, ""estimatedEndDate"": ""2025-01-08"", ""initialRatesNumber"": 36, ""yearlyInterestPercent"": 17.5}",6,1,
77,2022-01-08 22:29:01.176000,accepted,false,Odblokowanie karty kredytowej,"{""cardId"": 4, ""isActive"": false, ""cardImage"": ""https://wallpaperaccess.com/full/6043682.jpg"", ""cvvNumber"": 626, ""pinNumber"": ""8008"", ""cardNumber"": ""36345367452"", ""expireDate"": ""2024-09-01""}",6,5,
